country,year,gdp_pcap (US dollars)
SDN,2016,1033.21594238281
SDN,2017,966.505676269531
SDN,2018,731.027465820313
SDN,2019,709.975280761719
SDN,2020,577.795227050781
SDN,2021,712.122009277344
SDN,2022,1046.24084472656
SDN,2023,797.283447265625
SDN,2024,989.312866210938
SEN,2012,1326.837988483788
SEN,2013,1379.831965539237
SEN,2014,1398.8913760138187
SEN,2015,1218.0061355543774
SEN,2016,1266.439571515872
SEN,2017,1356.8051844903102
SEN,2018,1452.556125624453
SEN,2019,1431.1812893215913
SEN,2020,1461.087203505526
SEN,2021,1598.1067695227428
SEN,2022,1574.0281059305996
SEN,2023,1698.0338730084263
SEN,2024,1743.9888838435945
SGP,2012,55547.55530777861
SGP,2013,56967.42579403833
SGP,2014,57564.80231149774
SGP,2015,55645.60686146057
SGP,2016,57005.58871765469
SGP,2017,61236.251270626955
SGP,2018,66881.60670352653
